Label,Fs1,Fs2,Fs3,Fs4,Fs5,Fs6,Fs7,Fs8,Fs9,Fs10,Fs11,Fs12,Fs13,Fs14,Fs15,Fs16,Fs17,Fs18,Fs19,Fs20,Fs21,Fs22,Fs23,Fs24,Fs25,Fs26,Fs27,Fs28,Fs29,Fs30,Fs31,Fs32
Benign,"[53udp9090SF, 92]","[53udp1560S0, 46]","[10icmp800OTH, 34]","[18344tcp00RSTOS0, 29]","[17576tcp00RSTOS0, 29]","[123udp960S0, 23]","[17832tcp00RSTOS0, 17]","[0icmp800OTH, 11]","[80tcp00RSTO, 8]","[1icmp800OTH, 8]","[0icmp560OTH, 7]","[80tcp00RSTRH, 5]","[1icmp560OTH, 3]","[0icmp1360OTH, 3]","[3icmp800OTH, 2]","[53udp78206SF, 2]","[1icmp880OTH, 2]","[13icmp560OTH, 2]","[53udp7878SF, 1]","[53udp780S0, 1]","[17576tcp00REJ, 1]","[17832tcp00REJ, 1]","[0icmp2800OTH, 1]",,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142394]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142234]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142390]","[80tcp00S0, 128175]","[8080tcp00S0, 14239]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 104]","[53udp1560S0, 51]","[18344tcp00RSTOS0, 41]","[10icmp800OTH, 23]","[17576tcp00RSTOS0, 20]","[123udp960S0, 18]","[0icmp560OTH, 16]","[17832tcp00RSTOS0, 10]","[80tcp00RSTO, 9]","[1icmp800OTH, 9]","[13icmp560OTH, 7]","[80tcp00RSTRH, 5]","[3icmp800OTH, 4]","[1icmp560OTH, 4]","[0icmp800OTH, 3]","[0icmp1360OTH, 3]","[17832tcp00REJ, 1]","[53udp780S0, 1]","[53udp78206SF, 1]","[8080tcp00RSTRH, 1]","[3icmp1600OTH, 1]","[1icmp880OTH, 1]","[0icmp1600OTH, 1]",,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 71]","[666tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142232]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142395]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142387]","[80tcp00S0, 128030]","[8080tcp00S0, 14224]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 90]","[53udp1560S0, 45]","[17576tcp00RSTOS0, 31]","[10icmp800OTH, 29]","[18344tcp00RSTOS0, 23]","[123udp960S0, 19]","[17832tcp00RSTOS0, 17]","[13icmp560OTH, 10]","[80tcp00RSTO, 8]","[1icmp800OTH, 7]","[0icmp560OTH, 7]","[80tcp00RSTRH, 7]","[0icmp800OTH, 7]","[53udp780S0, 3]","[53udp78206SF, 3]","[0icmp1360OTH, 3]","[1icmp560OTH, 2]","[8080tcp00RSTRH, 1]","[3icmp800OTH, 1]","[17576tcp00REJ, 1]","[1icmp880OTH, 1]",,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142075]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142393]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142240]","[80tcp00S0, 128166]","[8080tcp00S0, 14240]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 60]","[123udp960S0, 36]","[53udp1560S0, 30]","[18344tcp00RSTOS0, 27]","[17576tcp00RSTOS0, 24]","[80tcp00RSTRH, 21]","[10icmp800OTH, 20]","[0icmp800OTH, 13]","[1icmp800OTH, 13]","[0icmp560OTH, 13]","[80tcp00RSTO, 13]","[17832tcp00RSTOS0, 12]","[53udp780S0, 6]","[13icmp560OTH, 5]","[53udp156206SF, 5]","[1icmp880OTH, 4]","[1icmp560OTH, 3]","[53udp78206SF, 3]","[18344tcp00REJ, 2]","[53udp78188SF, 2]","[0icmp1360OTH, 2]","[8080tcp00RSTO, 1]","[0icmp880OTH, 1]","[3icmp800OTH, 1]","[123udp1920S0, 1]","[8080tcp00RSTRH, 1]","[17576tcp00REJ, 1]",,,,,
C&C-HeartBeat,"[666tcp00S0, 70]","[666tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142389]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142222]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142391]","[80tcp00S0, 128032]","[8080tcp00S0, 14223]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 84]","[53udp1560S0, 43]","[18344tcp00RSTOS0, 43]","[10icmp800OTH, 27]","[123udp960S0, 25]","[17832tcp00RSTOS0, 17]","[17576tcp00RSTOS0, 17]","[0icmp560OTH, 15]","[80tcp00RSTO, 13]","[1icmp800OTH, 10]","[80tcp00RSTRH, 10]","[1icmp560OTH, 6]","[0icmp800OTH, 5]","[13icmp560OTH, 5]","[17576tcp00REJ, 3]","[53udp780S0, 2]","[53udp78206SF, 2]","[8080tcp00RSTO, 1]","[8080tcp00RSTRH, 1]","[53udp7878SF, 1]","[53udp156206SF, 1]","[3icmp800OTH, 1]","[1icmp880OTH, 1]","[13icmp800OTH, 1]","[0icmp1360OTH, 1]",,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142223]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142391]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142396]","[80tcp00S0, 128037]","[8080tcp00S0, 14226]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 112]","[53udp1560S0, 55]","[18344tcp00RSTOS0, 28]","[10icmp800OTH, 18]","[17576tcp00RSTOS0, 18]","[17832tcp00RSTOS0, 17]","[80tcp00RSTRH, 16]","[123udp960S0, 15]","[0icmp560OTH, 14]","[0icmp800OTH, 12]","[80tcp00RSTO, 11]","[1icmp800OTH, 7]","[13icmp560OTH, 4]","[17576tcp00REJ, 3]","[8080tcp00RSTRH, 3]","[1icmp560OTH, 2]","[8080tcp00RSTO, 1]","[3icmp800OTH, 1]","[0icmp1360OTH, 1]","[13icmp840OTH, 1]",,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142390]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142066]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142396]","[80tcp00S0, 128180]","[8080tcp00S0, 14242]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 104]","[53udp1560S0, 52]","[18344tcp00RSTOS0, 40]","[10icmp800OTH, 36]","[17832tcp00RSTOS0, 23]","[17576tcp00RSTOS0, 18]","[80tcp00RSTRH, 14]","[123udp960S0, 13]","[80tcp00RSTO, 11]","[0icmp560OTH, 10]","[1icmp800OTH, 10]","[13icmp560OTH, 4]","[0icmp800OTH, 4]","[0icmp1360OTH, 4]","[1icmp880OTH, 3]","[53udp780S0, 2]","[53udp78206SF, 2]","[13icmp840OTH, 2]","[1icmp560OTH, 2]","[1icmp1360OTH, 1]","[3icmp800OTH, 1]","[8080tcp00RSTRH, 1]","[49012tcp00RSTOS0, 1]",,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 71]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142233]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142381]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142393]","[80tcp00S0, 128027]","[8080tcp00S0, 14220]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 84]","[53udp1560S0, 43]","[18344tcp00RSTOS0, 31]","[123udp960S0, 25]","[10icmp800OTH, 21]","[17576tcp00RSTOS0, 17]","[17832tcp00RSTOS0, 16]","[0icmp560OTH, 11]","[80tcp00RSTRH, 10]","[80tcp00RSTO, 9]","[0icmp800OTH, 8]","[0icmp1360OTH, 7]","[13icmp560OTH, 6]","[53udp780S0, 4]","[1icmp800OTH, 4]","[17576tcp00REJ, 3]","[3icmp800OTH, 3]","[1icmp880OTH, 3]","[53udp78206SF, 2]","[53udp156206SF, 2]","[8080tcp00RSTO, 2]","[8080tcp00RSTRH, 1]","[0icmp880OTH, 1]","[1icmp560OTH, 1]",,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142390]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142229]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142237]","[80tcp00S0, 127743]","[8080tcp00S0, 14193]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 90]","[53udp1560S0, 45]","[18344tcp00RSTOS0, 38]","[10icmp800OTH, 27]","[17576tcp00RSTOS0, 26]","[123udp960S0, 25]","[17832tcp00RSTOS0, 17]","[80tcp00RSTRH, 11]","[0icmp560OTH, 11]","[0icmp800OTH, 7]","[1icmp800OTH, 7]","[80tcp00RSTO, 4]","[0icmp1360OTH, 4]","[17576tcp00REJ, 3]","[53udp156206SF, 2]","[53udp780S0, 2]","[0icmp880OTH, 1]","[13icmp560OTH, 1]","[39680tcp00REJ, 1]","[1icmp560OTH, 1]",,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142389]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142386]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142239]","[80tcp00S0, 128016]","[8080tcp00S0, 14221]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 106]","[53udp1560S0, 52]","[10icmp800OTH, 25]","[17576tcp00RSTOS0, 25]","[18344tcp00RSTOS0, 20]","[17832tcp00RSTOS0, 19]","[123udp960S0, 18]","[0icmp800OTH, 14]","[0icmp560OTH, 13]","[80tcp00RSTRH, 11]","[80tcp00RSTO, 10]","[1icmp800OTH, 8]","[3icmp800OTH, 5]","[1icmp560OTH, 3]","[13icmp1360OTH, 3]","[13icmp560OTH, 3]","[8080tcp00RSTRH, 2]","[1icmp880OTH, 1]","[17576tcp00REJ, 1]","[53udp156206SF, 1]","[53udp780S0, 1]","[13icmp840OTH, 1]",,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142234]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142381]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142391]","[80tcp00S0, 128170]","[8080tcp00S0, 14240]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 104]","[53udp1560S0, 53]","[18344tcp00RSTOS0, 37]","[10icmp800OTH, 24]","[17576tcp00RSTOS0, 22]","[123udp960S0, 14]","[80tcp00RSTRH, 9]","[0icmp800OTH, 8]","[17832tcp00RSTOS0, 8]","[1icmp800OTH, 8]","[80tcp00RSTO, 8]","[3icmp800OTH, 8]","[0icmp560OTH, 6]","[13icmp560OTH, 6]","[1icmp560OTH, 4]","[17832tcp00REJ, 2]","[8080tcp00RSTRH, 2]","[53udp780S0, 1]","[53udp156206SF, 1]","[0icmp1360OTH, 1]","[49306tcp00RSTOS0, 1]","[1icmp880OTH, 1]","[17576tcp00REJ, 1]","[123udp9696SF, 1]","[1icmp1360OTH, 1]",,,,,,,
C&C-HeartBeat,"[666tcp00S0, 71]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142218]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142078]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142227]","[80tcp00S0, 128022]","[8080tcp00S0, 14224]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 98]","[53udp1560S0, 49]","[18344tcp00RSTOS0, 22]","[17576tcp00RSTOS0, 21]","[10icmp800OTH, 19]","[17832tcp00RSTOS0, 18]","[80tcp00RSTO, 18]","[0icmp560OTH, 18]","[123udp960S0, 17]","[13icmp560OTH, 11]","[0icmp800OTH, 11]","[80tcp00RSTRH, 10]","[1icmp800OTH, 7]","[3icmp800OTH, 4]","[1icmp560OTH, 3]","[8080tcp00RSTRH, 2]","[17576tcp00REJ, 2]","[1icmp880OTH, 2]","[53udp78206SF, 2]","[53udp780S0, 2]","[0icmp880OTH, 1]","[13icmp800OTH, 1]","[0icmp2880OTH, 1]","[0icmp1360OTH, 1]","[3icmp880OTH, 1]","[44524tcp00REJ, 1]",,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142232]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142231]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142397]","[80tcp00S0, 128192]","[8080tcp00S0, 14240]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 84]","[53udp1560S0, 41]","[123udp960S0, 29]","[17576tcp00RSTOS0, 23]","[18344tcp00RSTOS0, 18]","[80tcp00RSTRH, 16]","[10icmp800OTH, 15]","[17832tcp00RSTOS0, 13]","[0icmp560OTH, 12]","[80tcp00RSTO, 10]","[0icmp800OTH, 8]","[1icmp800OTH, 6]","[13icmp560OTH, 5]","[53udp780S0, 4]","[53udp78206SF, 3]","[1icmp560OTH, 3]","[1icmp880OTH, 2]","[8080tcp00RSTRH, 1]","[8080tcp00RSTO, 1]","[0icmp2800OTH, 1]","[13icmp840OTH, 1]","[1icmp1360OTH, 1]","[0icmp880OTH, 1]","[53udp156206SF, 1]",,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142231]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142387]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142393]","[80tcp00S0, 128033]","[8080tcp00S0, 14227]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 84]","[53udp1560S0, 42]","[10icmp800OTH, 31]","[123udp960S0, 28]","[18344tcp00RSTOS0, 28]","[17576tcp00RSTOS0, 17]","[0icmp560OTH, 16]","[80tcp00RSTRH, 14]","[17832tcp00RSTOS0, 13]","[80tcp00RSTO, 11]","[1icmp800OTH, 10]","[0icmp800OTH, 9]","[1icmp560OTH, 5]","[1icmp880OTH, 3]","[3icmp800OTH, 3]","[53udp780S0, 3]","[13icmp560OTH, 3]","[53udp78206SF, 2]","[0icmp880OTH, 2]","[3icmp1600OTH, 1]","[8080tcp00RSTO, 1]","[53udp156206SF, 1]","[17832tcp00REJ, 1]","[8080tcp00RSTRH, 1]","[13icmp800OTH, 1]",,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142388]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142393]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142228]","[80tcp00S0, 128037]","[8080tcp00S0, 14225]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 108]","[53udp1560S0, 55]","[17576tcp00RSTOS0, 32]","[17832tcp00RSTOS0, 18]","[10icmp800OTH, 18]","[0icmp800OTH, 18]","[80tcp00RSTO, 18]","[80tcp00RSTRH, 17]","[0icmp560OTH, 14]","[123udp960S0, 13]","[1icmp800OTH, 11]","[18344tcp00RSTOS0, 9]","[13icmp560OTH, 7]","[13icmp840OTH, 4]","[1icmp880OTH, 2]","[0icmp1360OTH, 2]","[3icmp800OTH, 1]","[0icmp880OTH, 1]","[8080tcp00RSTO, 1]","[13icmp1360OTH, 1]","[17832tcp00REJ, 1]","[8080tcp00RSTRH, 1]","[1icmp1360OTH, 1]","[1icmp560OTH, 1]",,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142233]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142395]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142393]","[80tcp00S0, 128047]","[8080tcp00S0, 14225]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 110]","[53udp1560S0, 54]","[18344tcp00RSTOS0, 39]","[17576tcp00RSTOS0, 27]","[10icmp800OTH, 23]","[17832tcp00RSTOS0, 17]","[123udp960S0, 12]","[1icmp800OTH, 10]","[0icmp800OTH, 9]","[0icmp560OTH, 8]","[80tcp00RSTO, 3]","[1icmp880OTH, 3]","[13icmp560OTH, 3]","[0icmp1360OTH, 2]","[80tcp00RSTRH, 2]","[17576tcp00REJ, 2]","[0icmp1760OTH, 1]","[1icmp560OTH, 1]","[8080tcp00RSTRH, 1]","[3icmp800OTH, 1]","[53udp78206SF, 1]","[53udp780S0, 1]",,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142394]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142382]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142398]","[80tcp00S0, 128155]","[8080tcp00S0, 14240]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 102]","[53udp1560S0, 51]","[18344tcp00RSTOS0, 31]","[10icmp800OTH, 25]","[80tcp00RSTRH, 24]","[123udp960S0, 19]","[17832tcp00RSTOS0, 18]","[1icmp800OTH, 16]","[80tcp00RSTO, 11]","[0icmp560OTH, 9]","[0icmp800OTH, 9]","[13icmp560OTH, 8]","[17576tcp00RSTOS0, 7]","[1icmp560OTH, 4]","[3icmp800OTH, 4]","[8080tcp00RSTRH, 3]","[0icmp1360OTH, 2]","[0icmp920OTH, 1]","[17576tcp00REJ, 1]","[1icmp880OTH, 1]",,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142390]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142227]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142395]","[80tcp00S0, 128178]","[8080tcp00S0, 14239]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 110]","[53udp1560S0, 55]","[17832tcp00RSTOS0, 24]","[10icmp800OTH, 21]","[18344tcp00RSTOS0, 15]","[17576tcp00RSTOS0, 15]","[0icmp560OTH, 14]","[123udp960S0, 11]","[1icmp800OTH, 8]","[80tcp00RSTO, 8]","[0icmp800OTH, 8]","[80tcp00RSTRH, 6]","[13icmp560OTH, 4]","[0icmp1360OTH, 2]","[8080tcp00RSTRH, 2]","[3icmp800OTH, 2]","[17576tcp00REJ, 2]","[1icmp1200OTH, 1]","[123udp57696SF, 1]","[53udp156206SF, 1]",,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142224]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142386]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142384]","[80tcp00S0, 128024]","[8080tcp00S0, 14221]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 88]","[53udp1560S0, 45]","[123udp960S0, 20]","[17576tcp00RSTOS0, 18]","[10icmp800OTH, 17]","[18344tcp00RSTOS0, 17]","[17832tcp00RSTOS0, 11]","[0icmp560OTH, 11]","[80tcp00RSTO, 10]","[80tcp00RSTRH, 10]","[13icmp560OTH, 7]","[1icmp800OTH, 7]","[1icmp560OTH, 6]","[53udp780S0, 6]","[1icmp880OTH, 5]","[0icmp800OTH, 5]","[53udp78206SF, 4]","[3icmp800OTH, 3]","[8080tcp00RSTRH, 2]","[0icmp1360OTH, 2]","[0icmp2800OTH, 1]","[0icmp880OTH, 1]","[17576tcp00REJ, 1]","[53udp156206SF, 1]",,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 70]","[666tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142224]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142069]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142236]","[80tcp00S0, 128038]","[8080tcp00S0, 14223]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 88]","[53udp1560S0, 43]","[18344tcp00RSTOS0, 41]","[17576tcp00RSTOS0, 29]","[123udp960S0, 20]","[10icmp800OTH, 20]","[17832tcp00RSTOS0, 14]","[0icmp560OTH, 13]","[0icmp800OTH, 13]","[80tcp00RSTO, 12]","[80tcp00RSTRH, 11]","[1icmp560OTH, 7]","[1icmp800OTH, 5]","[53udp78206SF, 4]","[53udp780S0, 4]","[17576tcp00REJ, 4]","[0icmp1360OTH, 3]","[1icmp880OTH, 3]","[8080tcp00RSTRH, 2]","[3icmp800OTH, 2]","[13icmp560OTH, 2]","[13icmp840OTH, 1]","[0icmp1120OTH, 1]","[123udp57696SF, 1]","[13icmp800OTH, 1]","[0icmp880OTH, 1]",,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142389]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142389]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142240]","[80tcp00S0, 128038]","[8080tcp00S0, 14223]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 64]","[123udp960S0, 39]","[53udp1560S0, 32]","[80tcp00RSTRH, 24]","[17576tcp00RSTOS0, 21]","[10icmp800OTH, 20]","[18344tcp00RSTOS0, 18]","[17832tcp00RSTOS0, 17]","[0icmp560OTH, 12]","[1icmp800OTH, 12]","[80tcp00RSTO, 11]","[0icmp800OTH, 11]","[13icmp560OTH, 9]","[53udp780S0, 7]","[53udp78206SF, 7]","[3icmp800OTH, 5]","[1icmp560OTH, 4]","[1icmp880OTH, 3]","[17576tcp00REJ, 2]","[8080tcp00RSTRH, 2]","[0icmp1360OTH, 1]","[8080tcp00RSTO, 1]","[0icmp880OTH, 1]","[123udp9696SF, 1]",,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142388]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142384]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142231]","[80tcp00S0, 128184]","[8080tcp00S0, 14242]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 86]","[53udp1560S0, 44]","[18344tcp00RSTOS0, 38]","[10icmp800OTH, 23]","[123udp960S0, 22]","[17576tcp00RSTOS0, 19]","[80tcp00RSTO, 17]","[0icmp560OTH, 14]","[80tcp00RSTRH, 14]","[0icmp800OTH, 12]","[13icmp560OTH, 6]","[1icmp800OTH, 5]","[17832tcp00RSTOS0, 4]","[1icmp560OTH, 4]","[53udp780S0, 3]","[53udp78206SF, 3]","[1icmp880OTH, 3]","[13icmp800OTH, 2]","[8080tcp00RSTRH, 2]","[0icmp1360OTH, 1]","[80tcp00REJ, 1]","[8080tcp00RSTO, 1]","[123udp9696SF, 1]","[13icmp840OTH, 1]","[18344tcp00REJ, 1]",,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142230]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142383]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142227]","[80tcp00S0, 128195]","[8080tcp00S0, 14242]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 100]","[53udp1560S0, 49]","[18344tcp00RSTOS0, 36]","[17576tcp00RSTOS0, 23]","[123udp960S0, 21]","[10icmp800OTH, 16]","[1icmp800OTH, 12]","[0icmp560OTH, 12]","[0icmp800OTH, 8]","[80tcp00RSTO, 8]","[80tcp00RSTRH, 8]","[17832tcp00RSTOS0, 4]","[0icmp1360OTH, 3]","[53udp78206SF, 2]","[1icmp560OTH, 2]","[8080tcp00RSTRH, 2]","[3icmp800OTH, 2]","[13icmp560OTH, 2]","[53udp780S0, 2]","[17576tcp00REJ, 1]","[1icmp880OTH, 1]",,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142228]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142230]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142392]","[80tcp00S0, 128170]","[8080tcp00S0, 14240]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
